Player,Sold/Unsold,Winning Bid,2025 Team,2024 Team,Retained,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,BASRA,Avg+,SR+,BASRA+
Shivam Dube,Sold,12.00,CSK,CSK,Yes,396,14,14,3,66*,36,244,162.29,0,3,28,28,198.29,163.35,122.55,128.37
Ruturaj Gaikwad,Sold,18.00,CSK,CSK,Yes,583,14,14,3,108*,53,413,141.16,1,4,58,18,194.16,240.49,106.59,125.69
Ravindra Jadeja,Sold,18.00,CSK,CSK,Yes,267,14,11,5,57*,44.5,187,142.78,0,1,22,8,187.28,201.92,107.81,121.24
Rachin Ravindra,Sold,4.00,CSK,CSK,No,222,10,10,0,61,22.2,138,160.86,0,1,22,12,183.06,100.74,121.47,118.51
Rahul Tripathi,Sold,3.40,CSK,SRH,No,165,6,6,0,55,27.5,115,143.47,0,1,18,6,170.97,124.78,108.34,110.68
Deepak Hooda,Sold,1.70,CSK,LSG,No,145,11,9,1,50,18.13,105,138.09,0,1,16,3,156.22,82.27,104.27,101.13
Sam Curran,Sold,2.40,CSK,PBKS,No,270,13,12,2,63*,27,219,123.28,0,2,24,6,150.28,122.52,93.09,97.29
Vijay Shankar,Sold,1.20,CSK,GT,No,83,7,7,2,17,16.6,72,115.27,0,0,7,2,131.87,75.32,87.04,85.37
Ravichandaran Ashwin,Sold,9.75,CSK,RR,No,86,15,9,3,29,14.33,74,116.21,0,0,5,4,130.54,65.02,87.75,84.51
Noor Ahmad,Sold,10.00,CSK,GT,No,5,10,4,2,4,2.5,9,55.55,0,0,1,0,58.05,11.34,41.95,37.58
